order_id,datetime,is_weekend,is_festive_season,app,city,city_tier,category,items_ordered,order_amount_rupees,discount_rupees,final_amount_rupees,delivery_fee_rupees,payment_mode,delivery_slot,delivery_time_minutes,dark_store_id,order_status,cancel_return_reason,customer_rating,age_group,gender,user_type,customer_lifetime_orders,days_since_last_order,promo_code_used,estimated_delivery_distance_km
QC2015000000011,18-02-2015 08:07,0,0,Dunzo Daily,Hyderabad,Tier 1,Dairy & Eggs,6,184.47,55.34,129.13,14,Cash on Delivery,60+ min,80.8,DS0315,Delivered,,3,25-34,Female,New User,0,,No Promo,0.3
QC2015000000012,04-05-2015 14:04,0,0,Dunzo Daily,Kolkata,Tier 1,Groceries & Staples,2,182.45,0,182.45,20,Cash on Delivery,20-30 min,21.8,DS0471,Delivered,,4.3,25-34,Female,Returning User,5,37,Referral,0.3
QC2015000000013,30-09-2015 18:03,0,0,Dunzo Daily,Hyderabad,Tier 1,Groceries & Staples,2,736.3,0,736.3,0,Cash on Delivery,30-45 min,41.1,DS0359,Delivered,,4,25-34,Male,Returning User,10,58,No Promo,2.43
QC2015000000014,13-03-2015 18:03,0,0,Dunzo Daily,Kolkata,Tier 1,Baby Products,3,305.98,0,305.98,43,Cash on Delivery,30-45 min,45.1,DS0372,Delivered,,3.4,25-34,Male,Returning User,38,45,No Promo,0.3
QC2015000000015,01-07-2015 17:09,0,0,Dunzo Daily,Ahmedabad,Tier 1,Groceries & Staples,3,425.98,85.2,340.78,27,Cash on Delivery,30-45 min,50.1,DS0378,Delivered,,3.6,35-44,Female,Returning User,7,39,No Promo,1.96
QC2015000000016,01-07-2015 20:22,0,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,6,306.64,15.33,291.31,44,Cash on Delivery,45-60 min,68.9,DS0315,Delivered,,4.4,25-34,Female,Returning User,6,57,No Promo,1.9
QC2015000000017,22-09-2015 15:47,0,0,Dunzo Daily,Bengaluru,Tier 1,Personal Care,2,299.28,89.78,209.5,18,Cash on Delivery,20-30 min,22.5,DS0224,Delivered,,2.4,18-24,Female,New User,0,,No Promo,1
QC2015000000018,11-08-2015 22:20,0,0,Dunzo Daily,Delhi,Tier 1,Electronics,1,320.17,64.03,256.14,28,Cash on Delivery,30-45 min,46.3,DS0216,Delivered,,3.9,55+,Female,New User,0,,No Promo,0.3
QC2015000000019,09-10-2015 13:17,0,0,Dunzo Daily,Bengaluru,Tier 1,Fruits & Vegetables,7,188.94,0,188.94,14,Cash on Delivery,20-30 min,19.9,DS0468,Delivered,,4.7,18-24,Male,New User,0,,No Promo,
QC2015000000020,11-08-2015 11:11,0,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,1,394.77,0,394.77,42,Cash on Delivery,30-45 min,38.3,DS0466,Delivered,,3.1,55+,Female,New User,0,,No Promo,1.26
QC2015000000021,18-04-2015 12:02,1,0,Dunzo Daily,Bengaluru,Tier 1,Groceries & Staples,1,210.04,42.01,168.03,23,Cash on Delivery,30-45 min,48,DS0042,Delivered,,4.2,55+,Female,Returning User,19,47,No Promo,0.46
QC2015000000022,13-04-2015 20:15,0,0,Dunzo Daily,Bengaluru,Tier 1,Baby Products,5,164.66,0,164.66,44,Cash on Delivery,60+ min,82.3,DS0250,Delivered,,3.6,25-34,Male,New User,0,,No Promo,0.92
QC2015000000023,15-11-2015 08:26,1,0,Dunzo Daily,Pune,Tier 1,Snacks & Beverages,2,99,14.85,84.15,41,Cash on Delivery,10-20 min,15.3,DS0209,Delivered,,4.2,55+,Other,Returning User,15,46,Referral,1.8
QC2015000000024,13-04-2015 17:16,0,0,Dunzo Daily,Chennai,Tier 1,Dairy & Eggs,4,194.86,0,194.86,36,Cash on Delivery,45-60 min,60,DS0362,Delivered,,,18-24,Female,Returning User,38,38,No Promo,2.44
QC2015000000025,27-09-2015 00:38,1,0,Dunzo Daily,Delhi,Tier 1,Electronics,7,122.76,0,122.76,27,Debit Card,20-30 min,22.5,DS0470,Delivered,,4.6,35-44,Female,Returning User,6,35,No Promo,0.75
QC2015000000026,02-12-2015 12:14,0,0,Dunzo Daily,Chennai,Tier 1,Medicines,5,158.39,15.84,142.55,27,Cash on Delivery,30-45 min,41.1,DS0491,Delivered,,5,35-44,Male,New User,0,,No Promo,2.12
QC2015000000027,16-01-2015 12:39,0,0,Dunzo Daily,Chennai,Tier 1,Medicines,5,538.33,80.75,457.58,33,Cash on Delivery,45-60 min,47.4,DS0400,Delivered,,,25-34,Male,New User,0,,No Promo,1.09
QC2015000000028,04-02-2015 22:01,0,0,Dunzo Daily,Delhi,Tier 1,Baby Products,8,185.25,18.53,166.72,40,Cash on Delivery,45-60 min,54.8,DS0215,Delivered,,4.2,18-24,Male,Returning User,15,15,First Order Discount,0.83
QC2015000000029,06-05-2015 12:15,0,0,Dunzo Daily,Ahmedabad,Tier 1,Dairy & Eggs,5,296.58,29.66,266.92,28,Cash on Delivery,20-30 min,28.3,DS0316,Delivered,,5,35-44,Female,New User,0,,No Promo,0.79
QC2015000000030,27-09-2015 13:19,1,0,Dunzo Daily,Kolkata,Tier 1,Groceries & Staples,2,405.09,0,405.09,14,Cash on Delivery,45-60 min,52.2,DS0458,Delivered,,3.5,25-34,Male,Returning User,14,8,No Promo,1.79
QC2015000000031,28-08-2015 15:10,0,0,Dunzo Daily,Chennai,Tier 1,Beauty & Skincare,4,351.43,0,351.43,14,Credit Card,20-30 min,21.8,DS0321,Delivered,,4.6,45-54,Female,Returning User,13,52,No Promo,1.72
QC2015000000032,23-03-2015 22:35,0,0,Dunzo Daily,Chennai,Tier 1,Household,3,358.6,0,358.6,38,Cash on Delivery,60+ min,,DS0403,Delivered,,3.8,18-24,Male,Returning User,19,18,No Promo,1.46
QC2015000000033,10-09-2015 08:11,0,0,Dunzo Daily,Delhi,Tier 1,Household,13,251.47,0,251.47,21,Cash on Delivery,45-60 min,54.9,DS0469,Delivered,,3,25-34,Female,Returning User,16,1,No Promo,1.81
QC2015000000034,26-11-2015 13:31,0,0,Dunzo Daily,Pune,Tier 1,Snacks & Beverages,5,292,0,292,24,Cash on Delivery,60+ min,88.5,DS0389,Delivered,,5,45-54,Female,Returning User,28,18,First Order Discount,1.61
QC2015000000035,10-08-2015 11:28,0,0,Dunzo Daily,Bengaluru,Tier 1,Household,1,100.55,0,100.55,14,Credit Card,45-60 min,52,DS0140,Cancelled,Item out of stock,2,25-34,Male,Premium User,61,8,No Promo,1.44
QC2015000000036,27-10-2015 19:43,0,0,Dunzo Daily,Mumbai,Tier 1,Baby Products,3,99,0,99,23,Cash on Delivery,30-45 min,50.4,DS0174,Delivered,,4.5,18-24,Male,New User,0,,First Order Discount,1.41
QC2015000000037,13-02-2015 16:54,0,0,Dunzo Daily,Bengaluru,Tier 1,Personal Care,4,156.62,31.32,125.3,43,Cash on Delivery,30-45 min,37.8,DS0224,Delivered,,3.8,25-34,Male,Returning User,19,46,No Promo,0.82
QC2015000000038,17-01-2015 23:06,1,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,9,344.52,34.45,310.07,31,Debit Card,60+ min,81.4,DS0143,Delivered,,,18-24,Male,New User,0,,No Promo,0.3
QC2015000000039,26-09-2015 13:10,1,0,Dunzo Daily,Ahmedabad,Tier 1,Household,5,186.67,46.67,140,45,Cash on Delivery,60+ min,48.2,DS0379,Delivered,,4.9,25-34,Male,Returning User,33,50,No Promo,1.34
QC2015000000040,29-12-2015 15:01,0,0,Dunzo Daily,Ahmedabad,Tier 1,Electronics,4,251.03,0,251.03,30,Debit Card,30-45 min,51.1,DS0071,Delivered,,3.6,35-44,Male,Returning User,31,50,No Promo,
QC2015000000041,07-05-2015 11:45,0,0,Dunzo Daily,Ahmedabad,Tier 1,Snacks & Beverages,4,452.67,0,452.67,12,Debit Card,30-45 min,33.6,DS0498,Delivered,,3.2,18-24,Male,New User,0,,No Promo,1.33
QC2015000000042,27-02-2015 19:28,0,0,Dunzo Daily,Mumbai,Tier 1,Electronics,5,128.67,38.6,90.07,29,Cash on Delivery,60+ min,56.1,DS0216,Delivered,,4.1,25-34,Female,New User,0,,No Promo,1.66
QC2015000000043,16-04-2015 18:15,0,0,Dunzo Daily,Delhi,Tier 1,Medicines,9,196.47,19.65,176.82,40,Cash on Delivery,30-45 min,41.4,DS0384,Delivered,,3.2,25-34,Male,Returning User,39,59,,0.94
QC2015000000044,16-07-2015 10:12,0,0,Dunzo Daily,Chennai,Tier 1,Beauty & Skincare,2,221.24,0,221.24,50,Cash on Delivery,20-30 min,31.9,DS0101,Delivered,,5,25-34,Female,Premium User,117,2,First Order Discount,2.07
QC2015000000045,13-08-2015 22:23,0,0,Dunzo Daily,Kolkata,Tier 1,Household,5,410,41,369,35,Debit Card,45-60 min,42.3,DS0056,Cancelled,Wrong address,,35-44,Male,New User,0,,No Promo,2.1
QC2015000000046,04-11-2015 20:10,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,3,316.71,31.67,285.04,49,Cash on Delivery,45-60 min,49.6,DS0129,Delivered,,4.1,35-44,Male,New User,0,,No Promo,2.16
QC2015000000047,09-12-2015 20:45,0,0,Dunzo Daily,Delhi,Tier 1,Fruits & Vegetables,1,379.53,37.95,341.58,34,Cash on Delivery,45-60 min,44.8,DS0243,Delivered,,4.6,25-34,Female,New User,0,,No Promo,0.3
QC2015000000048,26-02-2015 13:22,0,0,Dunzo Daily,Delhi,Tier 1,Dairy & Eggs,4,213.4,0,213.4,19,Cash on Delivery,45-60 min,72.4,DS0432,Delivered,,4.9,25-34,Male,Premium User,112,8,No Promo,0.6
QC2015000000049,27-04-2015 06:53,0,0,Dunzo Daily,Pune,Tier 1,Fruits & Vegetables,6,597.92,0,597.92,0,Cash on Delivery,20-30 min,19.5,DS0067,Delivered,,3.4,35-44,Male,Returning User,27,37,No Promo,0.35
QC2015000000050,03-02-2015 11:29,0,0,Dunzo Daily,Chennai,Tier 1,Groceries & Staples,4,289.06,72.26,216.8,45,Cash on Delivery,10-20 min,17,DS0188,Delivered,,2.6,18-24,Male,New User,0,,No Promo,1.34
QC2015000000051,29-06-2015 20:13,0,0,Dunzo Daily,Mumbai,Tier 1,Groceries & Staples,4,489.51,0,489.51,27,Wallet,20-30 min,34.9,DS0213,Delivered,,2.8,18-24,Female,Returning User,12,30,No Promo,0.83
QC2015000000052,27-08-2015 19:46,0,0,Dunzo Daily,Mumbai,Tier 1,Baby Products,6,234.08,58.52,175.56,29,Cash on Delivery,45-60 min,51.8,DS0437,Delivered,,5,35-44,Female,Returning User,38,60,No Promo,1.09
QC2015000000053,22-01-2015 09:40,0,0,Dunzo Daily,Ahmedabad,Tier 1,Electronics,1,222.69,0,222.69,12,Cash on Delivery,20-30 min,21,DS0168,Delivered,,4.3,25-34,Male,New User,0,,No Promo,0.42
QC2015000000054,04-04-2015 19:28,1,0,Dunzo Daily,Delhi,Tier 1,Beauty & Skincare,2,198.77,19.88,178.89,46,Cash on Delivery,45-60 min,62.2,DS0208,Delivered,,3.1,25-34,Female,New User,0,,No Promo,1.51
QC2015000000055,15-05-2015 09:27,0,0,Dunzo Daily,Mumbai,Tier 1,Fruits & Vegetables,2,226.21,0,226.21,14,Cash on Delivery,45-60 min,54.5,DS0362,Delivered,,3.5,25-34,Female,New User,0,,First Order Discount,0.91
QC2015000000056,21-04-2015 09:31,0,0,Dunzo Daily,Kolkata,Tier 1,Groceries & Staples,9,176.31,26.45,149.86,45,Cash on Delivery,20-30 min,25.5,DS0135,Delivered,,4.4,18-24,Male,New User,0,,No Promo,1.88
QC2015000000057,17-08-2015 02:52,0,0,Dunzo Daily,Hyderabad,Tier 1,Snacks & Beverages,5,323.57,80.89,242.68,24,Cash on Delivery,30-45 min,36.3,DS0274,Delivered,,4.2,25-34,Male,Returning User,36,44,No Promo,0.95
QC2015000000058,18-09-2015 22:23,0,0,Dunzo Daily,Mumbai,Tier 1,Personal Care,4,337.9,33.79,304.11,46,Cash on Delivery,30-45 min,42.9,DS0497,Delivered,,3.9,25-34,Female,New User,0,,No Promo,1.28
QC2015000000059,18-02-2015 10:39,0,0,Dunzo Daily,Ahmedabad,Tier 1,Medicines,5,173.54,34.71,138.83,18,Debit Card,60+ min,91,DS0100,Delivered,,4.9,45-54,Female,Returning User,6,21,No Promo,0.99
QC2015000000060,08-11-2015 12:17,1,0,Dunzo Daily,Kolkata,Tier 1,Snacks & Beverages,2,318.05,79.51,238.54,34,Cash on Delivery,30-45 min,43.1,DS0482,Delivered,,4.2,25-34,Female,Premium User,100,14,No Promo,0.43
QC2015000000061,20-10-2015 09:55,0,0,Dunzo Daily,Chennai,Tier 1,Baby Products,3,200.37,0,200.37,50,Cash on Delivery,30-45 min,41,DS0403,Delivered,,3.6,18-24,Male,New User,0,,No Promo,0.98
QC2015000000062,12-12-2015 16:18,1,0,Dunzo Daily,Hyderabad,Tier 1,Baby Products,5,208.12,0,208.12,34,Cash on Delivery,30-45 min,36,DS0106,Delivered,,3.8,45-54,Female,New User,0,,No Promo,1.7
QC2015000000063,23-11-2015 16:24,0,0,Dunzo Daily,Bengaluru,Tier 1,Fruits & Vegetables,3,164.67,0,164.67,45,Cash on Delivery,60+ min,61.1,DS0062,Delivered,,3.1,18-24,Male,Returning User,38,16,No Promo,1.16
QC2015000000064,07-03-2015 22:19,1,0,Dunzo Daily,Pune,Tier 1,Groceries & Staples,2,216.55,0,216.55,46,Cash on Delivery,20-30 min,19.9,DS0337,Delivered,,4.1,18-24,Male,New User,0,,No Promo,2.14
QC2015000000065,05-11-2015 10:39,0,0,Dunzo Daily,Pune,Tier 1,Household,3,213.36,0,213.36,26,Cash on Delivery,45-60 min,46.3,DS0045,Delivered,,5,25-34,Male,Returning User,6,25,No Promo,2.19
QC2015000000066,28-09-2015 18:34,0,0,Dunzo Daily,Kolkata,Tier 1,Groceries & Staples,3,173.89,34.78,139.11,14,Cash on Delivery,45-60 min,68.3,DS0432,Delivered,,4.4,25-34,Male,Returning User,16,42,No Promo,1.06
QC2015000000067,14-08-2015 19:36,0,0,Dunzo Daily,Chennai,Tier 1,Fruits & Vegetables,3,134.66,40.4,94.26,42,Cash on Delivery,20-30 min,34.1,DS0281,Delivered,,2.9,18-24,Female,New User,0,,No Promo,1.08
QC2015000000068,06-07-2015 11:47,0,0,Dunzo Daily,Pune,Tier 1,Beauty & Skincare,4,153.98,23.1,130.88,35,Cash on Delivery,20-30 min,21.5,DS0332,Delivered,,4.4,18-24,Male,Returning User,12,3,Referral,1.87
QC2015000000069,23-04-2015 13:48,0,0,Dunzo Daily,Mumbai,Tier 1,Beauty & Skincare,1,215.02,32.25,182.77,23,Cash on Delivery,20-30 min,26.9,DS0246,Delivered,,5,25-34,Male,New User,0,,No Promo,0.52
QC2015000000070,19-10-2015 10:01,0,0,Dunzo Daily,Pune,Tier 1,Baby Products,1,486.14,0,486.14,22,Cash on Delivery,30-45 min,34.6,DS0492,Delivered,,4.2,25-34,Female,Returning User,27,29,No Promo,1.23
QC2015000000071,30-09-2015 21:30,0,0,Dunzo Daily,Hyderabad,Tier 1,Fruits & Vegetables,3,384.99,0,384.99,46,Cash on Delivery,20-30 min,21.9,DS0163,Delivered,,4.8,25-34,Male,Premium User,198,4,No Promo,0.3
QC2015000000072,29-10-2015 15:39,0,0,Dunzo Daily,Kolkata,Tier 1,Personal Care,3,137.85,20.68,117.17,36,Cash on Delivery,60+ min,65.5,DS0402,Delivered,,4,25-34,Female,New User,0,,No Promo,1.16
QC2015000000073,03-07-2015 12:01,0,0,Dunzo Daily,Delhi,Tier 1,Snacks & Beverages,6,281.54,70.39,211.15,37,Cash on Delivery,20-30 min,28.9,DS0360,Delivered,,4.3,25-34,Female,New User,0,,First Order Discount,0.3
QC2015000000074,04-06-2015 09:45,0,0,Dunzo Daily,Hyderabad,Tier 1,Personal Care,3,352.75,0,352.75,40,Cash on Delivery,60+ min,56.8,DS0385,Delivered,,4.3,18-24,Female,Returning User,33,2,No Promo,0.3
QC2015000000075,15-09-2015 15:44,0,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,4,287.23,0,287.23,44,Wallet,30-45 min,40.5,DS0250,Delivered,,4.4,55+,Male,New User,0,,No Promo,2.3
QC2015000000076,11-05-2015 08:15,0,0,Dunzo Daily,Pune,Tier 1,Medicines,1,287.33,28.73,258.6,24,Cash on Delivery,20-30 min,21.4,DS0468,Cancelled,Changed my mind,,45-54,Male,New User,0,,No Promo,2.75
QC2015000000077,29-08-2015 10:05,1,0,Dunzo Daily,Hyderabad,Tier 1,Electronics,5,592.69,0,592.69,0,Cash on Delivery,20-30 min,24.7,DS0085,Delivered,,3.1,35-44,Male,New User,0,,No Promo,1.41
QC2015000000078,01-11-2015 21:55,1,0,Dunzo Daily,Kolkata,Tier 1,Beauty & Skincare,3,367.29,36.73,330.56,29,Cash on Delivery,20-30 min,26.9,DS0112,Delivered,,4.6,35-44,Female,Returning User,19,20,No Promo,0.89
QC2015000000079,21-07-2015 09:09,0,0,Dunzo Daily,Mumbai,Tier 1,Household,3,101.51,25.38,76.13,25,Cash on Delivery,30-45 min,38.2,DS0277,Delivered,,3.7,25-34,Male,Returning User,17,1,No Promo,1.47
QC2015000000080,05-12-2015 10:50,1,0,Dunzo Daily,Hyderabad,Tier 1,Snacks & Beverages,1,208.66,0,208.66,35,Cash on Delivery,20-30 min,31.1,DS0037,Delivered,,3.4,55+,Male,New User,0,,No Promo,0.59
QC2015000000081,31-07-2015 05:48,0,0,Dunzo Daily,Mumbai,Tier 1,Personal Care,4,356.45,0,356.45,11,Credit Card,20-30 min,29.5,DS0277,Delivered,,3,25-34,Other,Returning User,8,50,No Promo,1.31
QC2015000000082,17-06-2015 19:50,0,0,Dunzo Daily,Hyderabad,Tier 1,Snacks & Beverages,4,212.03,0,212.03,47,Cash on Delivery,10-20 min,14.9,DS0289,Returned,Found better deal,2.1,18-24,Male,New User,0,,No Promo,0.44
QC2015000000083,21-10-2015 19:18,0,0,Dunzo Daily,Ahmedabad,Tier 1,Household,1,305.4,0,305.4,45,Cash on Delivery,45-60 min,50.4,DS0438,Delivered,,4.1,45-54,Male,Returning User,19,53,No Promo,1.16
QC2015000000084,09-02-2015 07:12,0,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,1,298.5,89.55,208.95,18,Cash on Delivery,20-30 min,29,DS0490,Delivered,,3.1,25-34,Female,New User,0,,First Order Discount,0.73
QC2015000000085,07-02-2015 14:43,1,0,Dunzo Daily,Bengaluru,Tier 1,Electronics,4,275.12,55.02,220.1,47,Cash on Delivery,60+ min,83.8,DS0417,Delivered,,4,35-44,Female,Returning User,20,59,No Promo,0.88
QC2015000000086,03-12-2015 21:17,0,0,Dunzo Daily,Kolkata,Tier 1,Beauty & Skincare,3,438.89,109.72,329.17,41,Cash on Delivery,20-30 min,18.1,DS0075,Delivered,,4.1,18-24,Male,Premium User,48,12,No Promo,0.3
QC2015000000087,26-09-2015 19:42,1,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,3,514.04,77.11,436.93,43,Cash on Delivery,20-30 min,30.7,DS0434,Delivered,,4.7,25-34,Female,New User,0,,No Promo,0.44
QC2015000000088,23-05-2015 01:49,1,0,Dunzo Daily,Bengaluru,Tier 1,Household,8,121.68,0,121.68,39,Cash on Delivery,60+ min,87.5,DS0213,Returned,Delay in delivery,,35-44,Male,Returning User,29,20,No Promo,2.22
QC2015000000089,21-05-2015 07:05,0,0,Dunzo Daily,Pune,Tier 1,Household,5,349.51,0,349.51,40,Cash on Delivery,45-60 min,56.6,DS0230,Delivered,,3.6,18-24,Male,New User,0,,,0.67
QC2015000000090,23-07-2015 11:09,0,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,3,241.27,60.32,180.95,15,Cash on Delivery,45-60 min,68.3,DS0266,Delivered,,4.7,25-34,Female,Returning User,17,3,No Promo,0.55
QC2015000000091,31-05-2015 15:35,1,0,Dunzo Daily,Mumbai,Tier 1,Baby Products,4,308.63,0,308.63,37,Cash on Delivery,30-45 min,39.7,DS0468,Delivered,,4.8,45-54,Male,Returning User,16,18,No Promo,0.91
QC2015000000092,23-08-2015 20:47,1,0,Dunzo Daily,Chennai,Tier 1,Medicines,5,133.08,0,133.08,35,Cash on Delivery,60+ min,73.5,DS0056,Cancelled,Changed my mind,2.5,35-44,Male,New User,0,,No Promo,
QC2015000000093,09-08-2015 06:29,1,0,Dunzo Daily,Hyderabad,Tier 1,Personal Care,3,122.81,36.84,85.97,47,Cash on Delivery,10-20 min,11.6,DS0146,Delivered,,3.7,35-44,Female,New User,0,,No Promo,0.87
QC2015000000094,30-10-2015 17:40,0,0,Dunzo Daily,Bengaluru,Tier 1,Baby Products,4,281.11,0,281.11,26,Cash on Delivery,60+ min,75,DS0049,Delivered,,3.6,45-54,Male,Returning User,34,48,First Order Discount,0.88
QC2015000000095,26-03-2015 15:42,0,0,Dunzo Daily,Mumbai,Tier 1,Beauty & Skincare,3,472.17,0,472.17,14,Cash on Delivery,30-45 min,40.5,DS0069,Cancelled,Found better deal,4.2,25-34,Other,New User,0,,Referral,0.86
QC2015000000096,09-12-2015 15:19,0,0,Dunzo Daily,Mumbai,Tier 1,Personal Care,8,245.63,24.56,221.07,14,Wallet,10-20 min,14.8,DS0377,Delivered,,5,25-34,Male,Returning User,27,30,No Promo,0.4
QC2015000000097,16-11-2015 14:47,0,0,Dunzo Daily,Ahmedabad,Tier 1,Beauty & Skincare,1,337.55,84.39,253.16,22,Cash on Delivery,45-60 min,49.5,DS0356,Delivered,,4.4,45-54,Female,Returning User,27,38,No Promo,0.88
QC2015000000098,28-01-2015 10:58,0,0,Dunzo Daily,Mumbai,Tier 1,Groceries & Staples,2,160.91,0,160.91,23,Wallet,30-45 min,26.9,DS0084,Delivered,,5,18-24,Female,Premium User,121,10,No Promo,0.52
QC2015000000099,11-02-2015 19:48,0,0,Dunzo Daily,Ahmedabad,Tier 1,Dairy & Eggs,6,212.37,0,212.37,35,Cash on Delivery,30-45 min,35.3,DS0299,Delivered,,4,25-34,Female,Returning User,18,38,Referral,1.15
QC2015000000100,11-06-2015 19:55,0,0,Dunzo Daily,Kolkata,Tier 1,Snacks & Beverages,1,282.21,0,282.21,43,Wallet,30-45 min,28.9,DS0262,Delivered,,3.2,55+,Female,Returning User,35,15,No Promo,0.66
QC2015000000101,19-11-2015 20:46,0,0,Dunzo Daily,Kolkata,Tier 1,Dairy & Eggs,6,550.75,137.69,413.06,35,Cash on Delivery,20-30 min,26.8,DS0042,Delivered,,3.6,45-54,Male,New User,0,,No Promo,0.3
QC2015000000102,15-10-2015 08:23,0,0,Dunzo Daily,Ahmedabad,Tier 1,Personal Care,3,231.75,11.59,220.16,28,Cash on Delivery,30-45 min,38.7,DS0248,Delivered,,3.8,18-24,Male,Returning User,32,3,No Promo,1.64
QC2015000000103,30-04-2015 09:30,0,0,Dunzo Daily,Ahmedabad,Tier 1,Baby Products,5,130.23,6.51,123.72,49,Cash on Delivery,60+ min,86.4,DS0353,Delivered,,3.8,45-54,Female,New User,0,,No Promo,2.03
QC2015000000104,25-05-2015 21:26,0,0,Dunzo Daily,Pune,Tier 1,Household,4,99,14.85,84.15,21,Buy Now Pay Later,20-30 min,29.5,DS0374,Delivered,,4.4,25-34,Male,New User,0,,No Promo,1.33
QC2015000000105,14-06-2015 18:18,1,0,Dunzo Daily,Kolkata,Tier 1,Beauty & Skincare,3,256.17,38.43,217.74,38,Cash on Delivery,60+ min,51.1,DS0220,Delivered,,4.3,25-34,Female,Returning User,14,44,No Promo,1.09
QC2015000000106,14-04-2015 08:58,0,0,Dunzo Daily,Pune,Tier 1,Household,2,355.05,88.76,266.29,33,Cash on Delivery,60+ min,75.3,DS0469,Delivered,,4.2,35-44,Other,New User,0,,No Promo,1.06
QC2015000000107,25-05-2015 19:46,0,0,Dunzo Daily,Ahmedabad,Tier 1,Dairy & Eggs,3,194.26,9.71,184.55,27,Cash on Delivery,20-30 min,25.2,DS0059,Delivered,,4.5,45-54,Male,Returning User,31,57,No Promo,1.34
QC2015000000108,19-04-2015 21:56,1,0,Dunzo Daily,Bengaluru,Tier 1,Electronics,5,174.55,17.46,157.09,34,Cash on Delivery,45-60 min,47.7,DS0098,Delivered,,,45-54,Male,New User,0,,No Promo,1.64
QC2015000000109,07-02-2015 07:25,1,0,Dunzo Daily,Hyderabad,Tier 1,Groceries & Staples,1,283.02,0,283.02,30,Cash on Delivery,20-30 min,29.7,DS0338,Delivered,,3.1,35-44,Male,Returning User,18,48,No Promo,1.74
QC2015000000110,13-03-2015 11:06,0,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,3,726.96,0,726.96,0,Cash on Delivery,30-45 min,40.1,DS0096,Delivered,,3.9,45-54,Male,New User,0,,No Promo,0.61
QC2015000000111,13-11-2015 15:18,0,0,Dunzo Daily,Ahmedabad,Tier 1,Household,7,491.81,0,491.81,35,Cash on Delivery,20-30 min,27.1,DS0436,Delivered,,4.1,25-34,Female,Returning User,32,18,No Promo,0.97
